'id';'type';'title';'genres';'overview';'runtime';'vote_average';'vote_count'
19995;'Movie';'Avatar';'Action, Adventure, Fantasy, Science Fiction';'In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.';162 minutes;3.6;11800
285;'Movie';'Pirates of the Caribbean: At World's End';'Adventure, Fantasy, Action';'Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.';169 minutes;3.45;4500
206647;'Movie';'Spectre';'Action, Adventure, Crime';'A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.';148 minutes;3.15;4466
49026;'Movie';'The Dark Knight Rises';'Action, Crime, Drama, Thriller';'Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.';165 minutes;3.8;9106
49529;'Movie';'John Carter';'Action, Adventure, Science Fiction';'John Carter is a war-weary, former military captain who is inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.';132 minutes;3.05;2124
559;'Movie';'Spider-Man 3';'Fantasy, Action, Adventure';'The seemingly invincible Spider-Man goes up against an all-new crop of villains – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.';139 minutes;2.95;3576
38757;'Movie';'Tangled';'Animation, Family';'When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon, and a gruff gang of pub thugs.';100 minutes;3.7;3330
99861;'Movie';'Avengers: Age of Ultron';'Action, Adventure, Science Fiction';'When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth's Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.';141 minutes;3.65;6767
23512;'Serie';'Sherlock';'Crime, Drama, Mystery';'A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.';15 episodes;4.25083;901
767;'Movie';'Harry Potter and the Half-Blood Prince';'Adventure, Fantasy, Family';'As Harry begins his sixth year at Hogwarts, he discovers an old book marked as Property of the Half-Blood Prince, and begins to learn more about Lord Voldemort's dark past.';153 minutes;3.70081;5297
209112;'Movie';'Batman v Superman: Dawn of Justice';'Action, Adventure, Fantasy';'Fearing the actions of a god-like Super Hero left unchecked, Gotham City's own formidable, forceful vigilante takes on Metropolis's most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it has ever known before.';151 minutes;2.85;7004
45923;'Serie';'Breaking Bad';'Drama, Thriller, Crime';'When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live, he becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.';62 episodes;4.5;1400
35023;'Serie';'The Mandalorian';'Sci-Fi, Fantasy, Action, Adventure';'After the fall of the Empire, a lone gunfighter makes his way through the lawless galaxy.';25 episodes;4.25;800
